ID,Groups,Description,Baseline [02-10 10:11],[02-10 13:56],[02-10 14:05],[06-05 11:06]
,runner,--dry-run shows build_runner command,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file excludes project from compiler,--/OK,--/OK,--/OK,X/OK
,cleanup,--dump-config displays cleanup config,--/OK,--/OK,--/OK,X/OK
,cleanup,deletes files matching glob patterns,--/OK,--/OK,--/OK,X/OK
,cleanup,--dry-run lists files without deleting,--/OK,--/OK,--/OK,X/OK
,cleanup,excludes patterns prevent deletion,--/OK,--/OK,--/OK,X/OK
,cleanup,protected folders are never touched,--/OK,--/OK,--/OK,X/OK
,cleanup,protected-folders with multi-segment paths (bug #17 FIXED),--/OK,--/OK,--/OK,X/OK
,cleanup,safety limit triggers abort when too many files,--/OK,--/OK,--/OK,X/OK
,cleanup,--force skips safety limit,--/OK,--/OK,--/OK,X/OK
,config merge precedence,workspace defaults apply when project has no override,--/OK,--/OK,--/OK,X/OK
,config merge precedence,project config overrides workspace config,--/OK,--/OK,--/OK,X/OK
,config merge precedence,additive merge for list fields (protected-folders),--/OK,--/OK,--/OK,X/OK
,config merge precedence,CLI args override both project and workspace config,--/OK,--/OK,--/OK,X/OK
,,(tearDownAll),--/OK,--/OK,--/OK,X/OK
,multi-line pipeline execution,stdin piping in verbose mode,--/OK,--/OK,--/OK,X/OK
,,--minor bump for specific project,--/OK,--/OK,--/OK,X/OK
,,default patch bump,--/OK,--/OK,--/OK,X/OK
,runner,--command clean shows clean command in dry-run,--/OK,--/OK,--/OK,X/OK
,runner,--include-builders filters to specific builders,--/OK,--/OK,--/OK,X/OK
,runner,--dump-config displays runner config and builders,--/OK,--/OK,--/OK,X/OK
,dependencies,--project with non-existent path gives clear error (bug #19 FIXED),--/OK,--/OK,--/OK,X/OK
,dependencies,--deep --dev shows recursive dev dependency tree,--/OK,--/OK,--/OK,X/OK
,dependencies,--deep output differs from normal mode (bug #16 FIXED),--/OK,--/OK,--/OK,X/OK
,dependencies,--deep shows indented transitive dependency tree (bug #16 FIXED),--/OK,--/OK,--/OK,X/OK
,path validation,--project rejects paths outside workspace,--/OK,--/OK,--/OK,X/OK
,dependencies,--all shows both normal and dev dependencies,--/OK,--/OK,--/OK,X/OK
,multi-line pipeline execution,stdin dry-run shows preview,--/OK,--/OK,--/OK,X/OK
,multi-line pipeline execution,multi-line shell dry-run shows preview,--/OK,--/OK,--/OK,X/OK
,,--major bump for specific project,--/OK,--/OK,--/OK,X/OK
,multi-line pipeline execution,stdin piping sends content to command,--/OK,--/OK,--/OK,X/OK
,multi-line pipeline execution,multi-line shell script in verbose mode,--/OK,--/OK,--/OK,X/OK
,versioner,build number increments on each run,--/OK,--/OK,--/OK,X/OK
,versioner,--variable-prefix overrides project config (bug #12 FIXED),--/OK,--/OK,--/OK,X/OK
,versioner,--version overrides pubspec version,--/OK,--/OK,--/OK,X/OK
,versioner,--dump-config displays versioner config from buildkit.yaml,--/OK,--/OK,--/OK,X/OK
,versioner,--list shows _build as a versioner project,--/OK,--/OK,--/OK,X/OK
,versioner,--no-git omits git commit field (bug #12 FIXED),--/OK,--/OK,--/OK,X/OK
,versioner,--project generates version.versioner.dart with correct prefix,--/OK,--/OK,--/OK,X/OK
,,--dry-run shows planned bumps without changing files,--/OK,--/OK,--/OK,X/OK
,dependencies,--dev shows dev dependencies only,--/OK,--/OK,--/OK,X/OK
,dependencies,default mode shows normal dependencies,--/OK,--/OK,--/OK,X/OK
,compiler,postcompile phase appears in dry-run,--/OK,--/OK,--/OK,X/OK
BKT_NEG04,negative (ineligible context),help output does not expose macro/define/pipeline features when buildkit_master.yaml absent,--/OK,--/OK,--/OK,X/OK
,compiler,--dump-config displays compiler config,--/OK,--/OK,--/OK,X/OK
,--exclude-projects pattern auto-detection,"basename pattern (no /) matches folder name, path pattern (with /) matches relative path",--/OK,--/OK,--/OK,X/OK
,workspace root discovery,discovers workspace root from a subdirectory,--/OK,--/OK,--/OK,X/OK
,pipeline command validation,"pipeline rejects unknown commands (not built-in, not shell-prefixed)",--/OK,--/OK,--/OK,X/OK
,baseline (no exclusion),dependencies finds core projects without exclusions,--/OK,--/OK,--/OK,X/OK
,baseline (no exclusion),versioner finds _build without exclusions,--/OK,--/OK,--/OK,X/OK
,buildkit --exclude-projects,buildkit respects buildkit_skip.yaml,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file is cleaned up in tearDown,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file in parent excludes all children,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,bumpversion skip file excludes project (bug #13 FIXED),--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file excludes project from runner,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file excludes project from dependencies,--/OK,--/OK,--/OK,X/OK
,buildkit_skip.yaml marker file,skip file excludes project from cleanup,--/OK,--/OK,--/OK,X/OK
